date,Day Type,Holiday,Moon Calendar,School Events,Rainfall_mm,Max_temp_celsius,Min_temp_celsius,Season,no_of_passengers,no_of_adults,no_of_children,total_fare_collected,no_of_full_fare_tickets,no_of_C/P_tickets,no_of_buses,no_of_trips,no_of_MHL_passengers,no_of_city_ordinary_bus,no_of_metro_express_bus,no_of_pallevelug_bus,no_of_other_bus,no_of_metro_delux_bus,no_of_express_bus
2024-08-07,2,0,3,0,274.33449759936,25.6989571684677,22.9769231129614,2,33587,33305,282,211078,8346,25240,45,392,10986,30,15,0,0,0,0
2024-08-08,3,0,4,0,73.4966908885886,28.3633721850614,22.9863051932602,2,37415,36900,515,223930,8643,28772,49,398,11844,33,16,0,0,0,0
2024-08-09,4,0,5,0,5.82224474043482,29.7377884423366,23.945601175245,2,36630,35987,643,220215,8717,27913,47,372,11350,37,11,0,0,0,0
2024-08-10,5,0,6,2,4.74624314848759,29.6420288255832,23.819282967921,2,32011,31597,414,215565,8097,23914,40,352,9814,26,14,0,0,0,0
2024-08-11,6,0,7,2,3.61400833992865,29.7061922625075,23.8989413694309,2,33541,32920,621,248445,9474,24067,47,428,10182,27,21,0,0,0,0
2024-08-12,0,0,8,0,7.4172027445252,29.5589185952721,23.8046761808145,2,42999,42256,743,288265,11125,31873,48,397,11988,33,15,0,0,0,0
2024-08-13,1,0,9,0,19.7382426677204,30.1869188236229,23.7486076659048,2,34708,34365,343,225935,8652,26056,44,353,10990,30,14,0,0,0,0
2024-08-14,2,0,10,0,11.0944045981956,29.7646019083735,23.9003084539001,2,40946,40498,448,269160,10336,30607,55,449,12892,36,19,0,0,0,0
2024-08-15,3,2,11,2,16.3141345974378,30.7501561894134,23.9112542287515,2,30668,30309,359,210365,8229,22439,44,375,9287,29,15,0,0,0,0
2024-08-16,4,1,12,0,81.3571033832821,30.1409819449422,24.1378013416912,2,32584,32171,413,230530,8630,23954,47,390,9612,33,14,0,0,0,0
2024-08-17,5,0,13,2,57.3801641403343,30.1930449883532,23.9834164046602,2,37504,36864,640,248995,9668,27836,48,391,11694,34,14,0,0,0,0
2024-08-18,6,0,14,2,60.5548868460772,30.1032759061514,23.7959225237046,2,31317,30692,625,241085,9148,22169,43,347,8892,31,12,0,0,0,0
2024-08-19,0,1,15,0,164.194814386366,29.3017016848224,23.5550554822232,2,21722,21163,559,174065,6755,14967,36,226,6207,26,10,0,0,0,0
2024-08-20,1,0,16,0,149.646429007758,29.8790966343812,23.4217681601938,2,29771,28976,795,224105,8528,21243,35,289,9775,23,12,0,0,0,0
2024-08-21,2,0,17,0,60.6358128244756,30.8558882588857,23.7092140739989,2,38979,38206,773,261170,10169,28810,46,356,11786,31,15,0,0,0,0
2024-08-22,3,0,18,0,38.3419902007023,29.7038516902729,23.908712196714,2,39837,38917,920,258855,10102,29735,48,381,12659,33,15,0,0,0,0
2024-08-23,4,0,19,0,6.42098708949453,29.1625312457055,23.8256898425992,2,31840,31540,300,202545,7848,23991,40,325,10214,28,12,0,0,0,0
2024-08-24,5,0,20,2,148.020047134049,27.104392702352,22.8225706321791,2,34273,33596,677,206355,8264,26009,36,295,10608,28,8,0,0,0,0
2024-08-25,6,0,21,2,50.5639893179285,27.4991942621149,22.6633907448487,2,39932,39271,661,283965,10874,29057,53,426,11742,35,18,0,0,0,1
2024-08-26,0,2,22,2,16.9411408669931,29.6053093058833,23.5285667308019,2,38599,37521,1078,243645,9262,29336,50,411,10965,31,19,0,0,0,0
2024-08-27,1,0,23,0,4.86580809837936,29.0637126065388,23.5603272970327,2,39917,39486,431,253583,9966,29951,49,404,12508,34,15,0,1,0,0
2024-08-28,2,0,24,0,9.6857895754688,29.3845278414149,23.4196250694096,2,39256,38854,402,250945,9797,29459,45,375,12012,33,12,0,0,0,0
2024-08-29,3,0,25,0,33.7977281069003,28.9841484557168,23.2729091012334,2,34658,34195,463,222810,8469,26189,45,360,11796,30,15,0,0,0,0
2024-08-30,4,0,26,0,388.484150124613,26.6819108195866,23.3522962474977,2,40879,40577,302,226165,8917,31961,45,378,12440,32,13,0,0,0,0
2024-08-31,5,0,27,2,311.636107156365,24.8141440398213,22.9315172873833,2,31291,30772,519,204825,7943,23348,44,368,10568,26,18,0,0,0,0
2024-09-01,6,0,28,2,1456.21160172033,23.4326463608599,21.6593770015653,2,32038,31741,297,218040,8555,23483,50,404,9523,34,16,0,0,0,0
2024-09-02,0,0,29,0,358.721736282269,25.3315693543424,22.4879801027846,2,33573,33154,419,225535,8609,24964,51,420,10051,31,20,0,0,0,0
2024-09-03,1,0,0,0,48.2635127283735,27.1448145187504,23.4930821899286,2,34411,34211,200,209875,8354,26055,45,391,11117,33,13,0,0,0,0
2024-09-04,2,0,1,0,252.897281376045,26.404757363959,23.2391130830544,2,34585,34404,181,199165,7930,26655,46,362,10920,34,12,0,0,0,0
2024-09-05,3,0,2,0,54.3833378988008,28.7111817709168,23.113064204475,2,35327,34749,578,208385,8087,27240,50,393,11496,32,18,0,0,0,0
2024-09-06,4,0,3,0,104.903954970458,28.8229689377967,23.393297446741,2,40187,39885,302,230970,8989,31196,47,374,12328,33,14,0,0,0,0
2024-09-07,5,2,4,2,91.8173512796118,27.8443475051715,23.4261939673309,2,26652,26235,417,194310,7492,19160,44,309,7552,31,13,0,0,0,0
2024-09-08,6,0,5,2,164.775318018972,25.7824502545395,23.4557607364901,2,27518,27095,423,204195,7587,19931,44,368,7742,32,12,0,0,0,0
2024-09-09,0,0,6,0,347.839910676737,24.5242753405007,23.337943053163,2,31816,31285,531,216265,8296,23519,40,335,9770,25,16,0,0,0,0
2024-09-10,1,0,7,0,35.1386674630275,28.4035673811631,23.1523725275939,2,34257,34027,230,214525,8215,26040,46,333,10890,31,15,0,0,0,0
2024-09-11,2,0,8,0,1.97610724125135,29.5813436326743,23.2620496354554,2,35012,34820,192,218560,8621,26391,44,361,10782,32,12,0,0,0,0
2024-09-12,3,0,9,0,1.0469212380541,28.8342878852768,23.216595561066,2,40587,40056,531,238080,9196,31391,49,395,12807,33,16,0,0,0,0
2024-09-13,4,0,10,0,1.35390022284373,29.3757716454125,22.9199122190799,2,35874,35651,223,220540,8650,27224,47,373,11912,34,13,0,1,0,0
2024-09-14,5,0,11,2,1.81217543975295,29.3932172542779,22.7892741162976,2,36737,36048,689,257360,9744,26993,51,418,11947,32,18,0,1,1,0
2024-09-15,6,0,12,2,2.27208732449143,29.3294131640814,23.0198855021,3,32915,32323,592,249495,9165,23750,46,391,9376,32,13,0,0,1,0
2024-09-16,0,2,13,2,2.30550417183137,28.3669562657882,23.1518865351437,3,38226,37432,794,281445,10624,27601,51,443,11169,34,16,0,0,1,0
2024-09-17,1,0,14,0,3.77664439689684,29.5370464103733,22.9233535813701,3,32908,32421,487,249740,9506,23402,43,388,9453,29,12,0,0,2,0
2024-09-18,2,0,15,0,2.20461454859254,29.6617547704833,22.4609736574436,3,43949,43255,694,318788,11791,32158,49,448,12661,33,14,0,0,2,0
2024-09-19,3,0,16,0,5.78548444690682,30.2905717580093,22.4256837696059,3,33455,33116,339,220240,8391,25064,44,356,10146,27,15,0,0,2,0
2024-09-20,4,0,17,0,107.638110426776,30.5453907369977,23.2388510679556,3,39958,39708,250,253460,9447,30511,46,389,12149,30,14,0,0,2,0
2024-09-21,5,0,18,2,276.162316746159,29.9150750920376,22.9285453740955,3,34399,33874,525,214435,8343,26056,42,378,10371,25,16,0,0,2,0
2024-09-22,6,0,19,2,42.6265422308125,28.5757767275541,22.958097519615,3,44246,43747,499,311810,11841,32405,54,459,13082,36,16,0,0,2,0
2024-09-23,0,0,20,0,189.653106336849,29.3949458638937,23.0595538778029,3,44167,43453,714,307118,11719,32447,53,442,12972,32,20,0,0,2,0
